neighbourhood,price_per_minimum_night
Allerton,1856.892857142857
Arden Heights,91.76666666666667
Arrochar,1243.5
Arverne,6827.5
Astoria,25237.935038169715
Bath Beach,512.25
Battery Park City,972.9000000000001
Bay Ridge,6123.483333333334
Bay Terrace,203.33333333333334
Baychester,216.58333333333334
Bayside,1944.6
Bayswater,755.3166666666666
Bedford-Stuyvesant,117108.59862395423
Belle Harbor,628.5
Bellerose,373.1666666666667
Belmont,896.5833333333334
Bensonhurst,1915.8380952380953
Bergen Beach,273.5
Boerum Hill,5848.5372742200325
Borough Park,3862.6951149425286
Breezy Point,390.0
Briarwood,2592.2333333333336
Brighton Beach,2978.806989247312
Bronxdale,386.75
Brooklyn Heights,6744.200238095238
Brownsville,1696.4722222222222
Bull's Head,80.0
Bushwick,54566.147795407735
Cambria Heights,753.0
Canarsie,7057.726190476191
Carroll Gardens,9447.970362415059
Castle Hill,63.66666666666667
Castleton Corners,132.16666666666669
Chelsea,47343.10473138385
Chinatown,17232.74932896758
City Island,837.1666666666666
Civic Center,1101.0546218487395
Claremont Village,323.7
Clason Point,1149.3809523809523
Clifton,726.5
Clinton Hill,34575.37040229885
Co-op City,64.16666666666667
Cobble Hill,4238.8349846390165
College Point,723.2380952380952
Columbia St,1097.5666666666666
Concord,660.6785714285714
Concourse,1662.2666666666667
Concourse Village,736.3833333333333
Coney Island,1345.4777777777779
Corona,2230.6071428571427
Crown Heights,46371.439241600696
Cypress Hills,6668.759523809524
DUMBO,1213.25
Ditmars Steinway,9251.038203463204
Dongan Hills,240.58333333333331
Douglaston,371.26666666666665
Downtown Brooklyn,3272.240570719603
Dyker Heights,538.0619047619048
East Elmhurst,9757.211904761905
East Flatbush,24954.582469190416
East Harlem,43011.96481635717
East Morrisania,752.5
East New York,8444.280952380952
East Village,67753.93558182055
Eastchester,829.5
Edenwald,439.8333333333333
Edgemere,542.1952380952381
Elmhurst,7370.953530377668
Eltingville,70.0
Emerson Hill,128.0
Far Rockaway,958.6166666666667
Fieldston,316.0
Financial District,42423.5965588291
Flatbush,16079.378521696653
Flatiron District,6254.842857142858
Flatlands,3572.4285714285716
Flushing,18274.609523809522
Fordham,1396.974025974026
Forest Hills,5628.567301587302
Fort Greene,14747.057650917244
Fort Hamilton,1279.5833333333333
Fresh Meadows,2044.8333333333333
Glendale,1386.442857142857
Gowanus,11123.255776259335
Gramercy,16479.91987179487
Graniteville,121.66666666666667
Grant City,74.95238095238095
Gravesend,1260.0119047619048
Great Kills,476.2833333333333
Greenpoint,28084.672337469725
Greenwich Village,16377.557819236623
Grymes Hill,381.5
Harlem,90046.60928948552
Hell's Kitchen,110354.62718803351
Highbridge,970.3571428571429
Hollis,342.4
Holliswood,106.0
Howard Beach,1202.1
Howland Hook,58.333333333333336
Huguenot,267.5
Hunts Point,197.47857142857143
Inwood,5571.781297629574
Jackson Heights,5768.505062944718
Jamaica,12596.65238095238
Jamaica Estates,1206.9642857142858
Jamaica Hills,591.0
Kensington,3912.0324175824176
Kew Gardens,604.2857142857143
Kew Gardens Hills,922.1666666666666
Kingsbridge,1816.0576923076924
Kips Bay,16733.747259062777
Laurelton,949.1666666666666
Lighthouse Hill,157.5
Little Italy,4370.922580645161
Little Neck,105.66666666666667
Long Island City,18865.621165764158
Longwood,1540.1666666666667
Lower East Side,39140.58411024459
Manhattan Beach,287.75
Marble Hill,286.3
Mariners Harbor,293.0
Maspeth,3475.245238095238
Melrose,195.5
Middle Village,1178.7547619047618
Midland Beach,186.25
Midtown,84168.18491401381
Midwood,2128.135714285714
Mill Basin,420.5
Morningside Heights,5596.375422427035
Morris Heights,401.8333333333333
Morris Park,548.0
Morrisania,321.0
Mott Haven,2421.9
Mount Eden,64.0
Mount Hope,625.0238095238095
Murray Hill,18243.851258894363
Navy Yard,464.92857142857144
Neponsit,412.0
New Brighton,232.5
New Dorp Beach,58.0
New Springville,229.5
NoHo,6621.411904761905
Nolita,16875.740476190476
North Riverdale,199.0
Norwood,496.1166666666667
Oakwood,310.0
Olinville,66.0
Ozone Park,2019.4238095238095
Park Slope,17938.913423509504
Parkchester,855.4333333333334
Pelham Bay,704.9761904761905
Pelham Gardens,1250.3880952380953
Port Morris,1194.0238095238096
Port Richmond,220.5
Prince's Bay,42.5
Prospect Heights,10334.966605616606
Prospect-Lefferts Gardens,15626.395819598767
Queens Village,2580.5
Randall Manor,654.7619047619048
Red Hook,4273.476043956044
Rego Park,3545.6452380952383
Richmond Hill,3896.5333333333333
Richmondtown,26.0
Ridgewood,8586.117613927292
Riverdale,551.8809523809524
Rockaway Beach,3926.1425925925923
Roosevelt Island,1423.9119047619047
Rosebank,400.5
Rosedale,2553.8166666666666
Rossville,25.0
Schuylerville,556.0
Sea Gate,755.0
Sheepshead Bay,6828.135714285714
Shore Acres,37.5
Silver Lake,40.0
SoHo,25776.422294372296
Soundview,354.5
South Beach,386.5
South Ozone Park,2130.4666666666667
South Slope,9107.073246287762
Springfield Gardens,5175.285714285715
Spuyten Duyvil,260.0
St. Albans,3736.6666666666665
St. George,1746.2
Stapleton,1257.1666666666667
Stuyvesant Town,668.9190476190477
Sunnyside,9214.271428571428
Sunset Park,12661.548118548119
Theater District,15047.842446633826
Throgs Neck,1295.8333333333333
Todt Hill,74.42857142857143
Tompkinsville,1554.4761904761904
Tottenville,309.25
Tremont,279.8571428571429
Tribeca,15509.643146638307
Two Bridges,3163.309523809524
Unionport,442.5
University Heights,444.4166666666667
Upper East Side,61877.86853815419
Upper West Side,62851.63842758187
Van Nest,374.92857142857144
Vinegar Hill,966.5
Wakefield,1657.0404761904763
Washington Heights,22931.247938145156
West Brighton,570.0454545454545
West Farms,161.5
West Village,41945.33079255746
Westchester Square,925.6666666666666
Westerleigh,54.333333333333336
Whitestone,631.3333333333334
Williamsbridge,1792.1142857142856
Williamsburg,124214.93099625056
Willowbrook,62.25
Windsor Terrace,4370.314367816092
Woodhaven,1905.2428571428572
Woodlawn,407.0
Woodside,6080.359554374015
